FlorentineDrawings_Identifier,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Inventory_number,Object_repository_URI_corrected,Former_collection,Former_collection_URI,Former_collection_city,Former_collection_city_URI,Former_collection_country,Former_collection_country_URI,Former_collection_Inventory_Number,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
01897_2-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,1882-8-12-219,,,,,,,,,1897 ,1897,,,,Alunno di Benozzo,http://vocab.getty.edu/ulan/500299803,,"Due disegni sulla medesima montatura: 2) Tre Santi, uno dei quali San Pietro, ed un donatore genuflesso",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,Same as 1938,,1897 ,1897,Alunno di Benozzo,http://vocab.getty.edu/ulan/500299803,,"Two drawings in same mount. Three saints, one being Peter, and a kneeling donor",,Ascribed to Masolino,,1897 ,1897,Pier Francesco Fiorentino,http://vocab.getty.edu/ulan/500017084,,,,Same as 1938,,,
0001941-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,14531.F,,,,,,,,,1941,1941,,,,Antonio Pollajuolo,http://vocab.getty.edu/ulan/500013242,School of,"Due frammenti, con molti nudi, di una battaglia fra cavalieri e fanti",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,Povera copia di una perduta composizione di Antonio Pollajuolo,,1941,1941,Antonio Pollajuolo,http://vocab.getty.edu/ulan/500013242,School of,"Two fragments, wretchedly coplying lost composition by A., representing, in many nude figures, battle of horse and foot",,,,1941,1941,Antonio Pollajuolo,http://vocab.getty.edu/ulan/500013242,School of,,,Same as 1938,,,
0001942-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,14532.F,,,,,,,,,1942,1942,,,,Antonio Pollajuolo,http://vocab.getty.edu/ulan/500013242,School of,"Due frammenti, con molti nudi, di una battaglia fra cavalieri e fanti",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,Povera copia di una perduta composizione di Antonio Pollajuolo,,1942,1942,Antonio Pollajuolo,http://vocab.getty.edu/ulan/500013242,School of,"Two fragments, wretchedly coplying lost composition by A., representing, in many nude figures, battle of horse and foot",,,,1942,1942,Antonio Pollajuolo,http://vocab.getty.edu/ulan/500013242,School of,,,Same as 1938,,,
0001046-Berenson,Milan,http://sws.geonames.org/3173435,Italy,http://sws.geonames.org/3175395,Biblioteca Ambrosiana,http://viaf.org/viaf/147341799/,,,Codex Atlanticus,,,,,,,,,1046,1046,,,,Leonardo da Vinci,http://vocab.getty.edu/ulan/500010879,,"Pagine provenienti da parecchi quaderni applicate da Pompeo Leoni verso la fine del Cinquecento su 402 fogli di grande formato (65 x 45) Il titolo dato da Pompeo Leoni a tale raccolta era «Disegni di machine et delle arti secrete et altre cose di Leonardo da Vinci raccolti da Pompeo Leoni» Sono piccoli schizzi in gran parte di argomenti scientifici, di meccanica e costruzioni, alcuni di interesse considerevole Non mi attenterò a catalogarli e rimando il lettore alla pubblicazione a cura dell'Accademia dei Lincei in edizione integrale (Milano, Hoepli 1905)Nominerò qui soltanto alcuni schizzi particolarmente interessanti",,,,,,,,,,,,,,,,,,,,,"Dal Codex Atlanticus provengono alcuni frammenti di disegni ora a Windsor (BB nn. 1128 A, 1137 B, 1138 B, 1138 C, 1150, 1161 A, 1161 B, 1161 D, 1161 E, 1163 A, 1197, 1210). Essi furono ritagliati da Pompeo Leoni dai loro fogli originali e uniti ad altri, per formare il volume di Windsor.",,1046,1046,Leonardo da Vinci,http://vocab.getty.edu/ulan/500010879,,"Large number of small sketches, some of considerable interest. I shall not attempt to catalogue them. They are in course of publication in facsimile, and will soon be accessible in this form.",,"Three particularly interesting leaflets are reproduced by the Commissione Vinciana. On pl. 21 (Vol. I) two separate sketches, one for a child playing with a cat and one for a putto crouching at the corner of a pediment over a cornice; on pl. 41 (Vol. II) a sheet with machines for pressing or grinding and to the right a kneeling figure of a slender graceful woman, perhaps for a Nativity, with proportions recalling Filippino Lippi.",,1046,1046,Leonardo da Vinci,http://vocab.getty.edu/ulan/500010879,,"A large number of small sketches, some of considerable interest. I shall not attempt to catalogue them. They are in course of publication in facsimile, and will soon be accessible in this form.",,,,,Please see my choise for this unusual case.
1046Fol24vc-Berenson,Milan,http://sws.geonames.org/3173435,Italy,http://sws.geonames.org/3175395,Biblioteca Ambrosiana,http://viaf.org/viaf/147341799/,,,Codex Atlanticus Fol. 24 v. c.,,,,,,,,,1046 (Fol. 24 v. c.),1046Fol24vc,,,,Leonardo da Vinci,http://vocab.getty.edu/ulan/500010879,,Un bimbo che gioca con un gatto / Un putto accoccolato sull'angolo di un cornicione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046Fol128-Berenson,Milan,http://sws.geonames.org/3173435,Italy,http://sws.geonames.org/3175395,Biblioteca Ambrosiana,http://viaf.org/viaf/147341799/,,,Codex Atlanticus,,,,,,,,,1046 (Fol. 128),1046Fol128,,,,Leonardo da Vinci,http://vocab.getty.edu/ulan/500010879,,"Alcune macchina da pressare o da macinare; a destra, una donna genuflessa, forse per una «Natività», le cui proporzioni esili e graziose ricordano Filippino Lippi ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046Fol156r-Berenson,Milan,http://sws.geonames.org/3173435,Italy,http://sws.geonames.org/3175395,Biblioteca Ambrosiana,http://viaf.org/viaf/147341799/,,,Codex Atlanticus Fol. 156 r.,,,,,,,,,1046 (Fol. 156 r.),1046Fol156r,,,,Leonardo da Vinci,http://vocab.getty.edu/ulan/500010879,,Schizzo della Leda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046Fol294r-Berenson,Milan,http://sws.geonames.org/3173435,Italy,http://sws.geonames.org/3175395,Biblioteca Ambrosiana,http://viaf.org/viaf/147341799/,,,Codex Atlanticus Fol. 294 r.,,,,,,,,,1046 (Fol. 294 r.),1046Fol294r,,,,Leonardo da Vinci,http://vocab.getty.edu/ulan/500010879,,San Sebastiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01355A_1-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Christ Church Picture Gallery,http://viaf.org/viaf/268900804/,,,,,,,,,,,,1355 A (1),1355A_1,,,,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Cinque disegni incorniciati dal Vasari: Tritoni che sollevano trofei,,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,tutti piuttosto tardi; le due composizioni sacre appartengono al periodo degli affreschi di Santa Maria Novella (ca. 1502).,"Pubblicato da O. Kurz come Filippino, non è fiorentino.",1355 A,1355A,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Five drawings framed in by Vasari: Tritons holding up trophies.,,"all latish, the two sacred compositions being of the period of the S. Maria Novella frescoes.","The verso, which Kurz publishes as by Filippino, is not Florentine.",,,,,,,,,,,
01355A_2-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Christ Church Picture Gallery,http://viaf.org/viaf/268900804/,,,,,,,,,,,,1355 A (2),1355A_2,,,,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Cinque disegni incorniciati dal Vasari: Uomo che lotta con una centauressa ed un altro che trascina via una porta,,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,tutti piuttosto tardi; le due composizioni sacre appartengono al periodo degli affreschi di Santa Maria Novella (ca. 1502).,"Pubblicato da O. Kurz come Filippino, non è fiorentino.",1355 A,1355A,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Five drawings framed in by Vasari: One man fighting with a centauress and another carrying off a door.,,"all latish, the two sacred compositions being of the period of the S. Maria Novella frescoes.","The verso, which Kurz publishes as by Filippino, is not Florentine.",,,,,,,,,,,
01355A_3-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Christ Church Picture Gallery,http://viaf.org/viaf/268900804/,,,,,,,,,,,,1355 A (3),1355A_3,,,,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,"Cinque disegni incorniciati dal Vasari: Battaglia fra un centauro, un satiro, un uomo ed una donna",,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,tutti piuttosto tardi; le due composizioni sacre appartengono al periodo degli affreschi di Santa Maria Novella (ca. 1502).,"Pubblicato da O. Kurz come Filippino, non è fiorentino.",1355 A,1355A,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,"Five drawings framed in by Vasari: Battle between centaur, satyr, man, and woman.",,"all latish, the two sacred compositions being of the period of the S. Maria Novella frescoes.","The verso, which Kurz publishes as by Filippino, is not Florentine.",,,,,,,,,,,
01355A_4-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Christ Church Picture Gallery,http://viaf.org/viaf/268900804/,,,,,,,,,,,,1355 A (4),1355A_4,,,,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Cinque disegni incorniciati dal Vasari: Vergine col Bambino e Santi,,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,tutti piuttosto tardi; le due composizioni sacre appartengono al periodo degli affreschi di Santa Maria Novella (ca. 1502).,"Pubblicato da O. Kurz come Filippino, non è fiorentino.",1355 A,1355A,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Five drawings framed in by Vasari: (4) Virgin and Child with saints.,,"all latish, the two sacred compositions being of the period of the S. Maria Novella frescoes.","The verso, which Kurz publishes as by Filippino, is not Florentine.",,,,,,,,,,,
01355A_5-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Christ Church Picture Gallery,http://viaf.org/viaf/268900804/,,,,,,,,,,,,1355 A (5),1355A_5,,,,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Cinque disegni incorniciati dal Vasari: Le afflizioni di Giobbe,,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,tutti piuttosto tardi; le due composizioni sacre appartengono al periodo degli affreschi di Santa Maria Novella (ca. 1502).,"Pubblicato da O. Kurz come Filippino, non è fiorentino.",1355 A,1355A,Filippino Lippi,http://vocab.getty.edu/ulan/500018029,,Five drawings framed in by Vasari: Afflictions of Job.,,"all latish, the two sacred compositions being of the period of the S. Maria Novella frescoes.","The verso, which Kurz publishes as by Filippino, is not Florentine.",,,,,,,,,,,
1623bis-Berenson,Berlin,http://sws.geonames.org/2950159,Germany,http://sws.geonames.org/2921044,Kupferstichkabinett,http://viaf.org/viaf/132000764/,,,15305.bis,,,,,,,,,1623 (bis),1623bis,601,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Esatta copia del foglio precedente, meglio leggibile, perché meno guarda, e, come quella, proveniente dalla Raccolta Beckerath",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,[1938: La migliore conservazione di questo foglio permette di avanzare l'ipotesi che l'autore del disegno sia quel San Gallo al quale si deve il disegno per la Tomba di Papa Clemente VII custodito agli Uffizi (n. 183 Architettura).],,1623,1623,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Two sheets drawn on front and back in exact imitation of one another: on front we see a design presumably for the Tomb of Julius ,"And on the back, studies of limbs","A discussion of these sheets will be found in the Text, but see also my 1697A, 1735, 1736, 1747.",,1623,1623,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,Two sheets catalogued  with the same item in BB_1903 and BB_1938.,See column D
00147_1-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1682,,,,,,,,,147 (1),147_1,834,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Due disegni montati insieme: Due mani giunte,Due disegni montati insieme: Mani che tirano da parte una tenda,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,"Same as 1938, in Italian",,147,147,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Two drawings on same mount: Two joined hands ,Two drawings on same mount: Hands drawing aside a curtain,for the Pitti Pietà,,147,147,,,,,,,,,
00147_2-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1682.bis,,,,,,,,,147 (2),147_2,834,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Due disegni montati insieme: Mano che regge della frutta,,,,,,,,,,,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,147,147,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Two drawings on same mount: Hand holding fruit,,,,147,147,,,,,,,,,
00154_1-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1714,,,,,,,,,154 (1),154_1,803,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Cinque studi di mani ,"Studio per la tenda di sfondo nella ""Madonna Borgherini""",,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"uno per la mano sinistra della ""Madonna Borgherini"" (New York, Metropolitan Museum, n. 22.75); tre per la mano destra della medesima, un altro per la mano sinistra di San Giovannino",,154,154,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Study for hands of fifth apostle on our right in the Last Supper, and for another hand probably for that work, but discarded ",Study of draperies,,,154,154,,,,,,,,,
00154_2-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1714,,,,,,,,,154 (2),154_2,803,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Braccia e mani intrecciate,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"studio per il quinto Apostolo d destra nel ""Cenacolo di San Salvi"" a Firenze; e mano, probabilmente per il Cristo nel medesimo affresco",,154,154,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Various studies of hands,,,,154,154,,,,,,,,,
00154_3-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1714,,,,,,,,,154 (3),154_3,803,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Tre schizzi di gambe per il medesimo affresco,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,,,154,154,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Various studies of legs and feet for the Last Supper,,,,154,154,,,,,,,,,
00154_4-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1714,,,,,,,,,154 (4),154_4,803,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Quattro studi di piedi,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"quello visto di fronte, all'estrema sinistra, per il San Giovanni nella ""Madonna delle Arpie"" (Uffizi n. 1577), e quello al centro, in profilo, per il San Francesco nella medesima",,154,154,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Various studies of legs and feet for the Last Supper,,,,154,154,,,,,,,,,
00154_5-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1714,,,,,,,,,154 (5),154_5,803,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Due gambe,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"studi per il ""Cenacolo di San Salvi"" a Firenze",,154,154,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Various studies of legs and feet for the Last Supper,,,,154,154,,,,,,,,,
00156_1-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1716,,,,,,,,,156 (1),156_1,,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Due disegni sulla stessa montatura: Testa di fanciulla di diciotto o diciannove anni,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,,,156,156,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Two drawings on same mount. Head of Girl of eighteen or nineteen,,Later middle period,,156,156,,,,,,,,,
