FlorentineDrawings_IdentifierBB1961,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Former_collection,Former_collection_URI,BB_1961_Inventory_number,Inventory_number_correction,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
0000010-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,548.E,,10,10,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Studi per Angeli che salgono gradini,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,10,10,,,,Studies of angels walking up steps,,,,10,10,"Albertinelli, Mariotto",,,,,,,"In BB 1961 the Inventory number ""458.A"" is wrong and there are comments added by pen  (Wrong number! Drawing by Peruzzi)",
000275A-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,549.E,,275 A,275A,,,,"Bartolommeo,  Fra",http://vocab.getty.edu/ulan/500115575,,Due putti e studio di veste,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,275 A,275A,,,,Two putti and study of garment,,"The garment may have been intended for a St. Michael in the Last Judgement. Compare with my 463.A, which I also used to attribute to Albertinelli",,11,11,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,,,,,,"""già 11"" was BB 1903 "
0000012-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,550.E,,12,12,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Cristo in gloria con la Madonna e San Giovanni,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,12,12,,,,Christ in glory with Madonna and St. John,,,,12,12,"Albertinelli, Mariotto",,,,,,,,
0000013-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,556.E,,13,13,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Trinità con santi e cherubini,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,13,13,,,,Trinity with cherubs and saints,,Kindred in subject but scarcely a study for the Trinity at the Accademia (n. 8660),,13,13,"Albertinelli, Mariotto",,,,,Same as 1938,,,
0000014-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,560.E,,14,14,,,XLVIII,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Angelo con una croce ed una lancia ,Angelo in atto di suonare una tromba,,metalpoint,getty_metalpoint,,,,,,,,,,,,,,,,,"Studio per l'affresco del ""Giudizio Universale,"" già a Santa Maria Nuova ed ora nel Museo di San Marco, commesso a Fra bartolomeo nel 1498 e compiuto dall'Albertinelli nel 1501;",Studio per lo stesso affresco,14,14,,,,Angel with cross and lance ,Angel blowing trumpet,Study for the fresco of the Last Judgment ,Study for same,14,14,"Albertinelli, Mariotto",,,,,Same as 1938,,,
0000015-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,561.E,,15,15,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Due Angeli suonatori di trombe,,,metalpoint,getty_metalpoint,,,,,,,,,,,,,,,,,"Studio per l'affresco del ""Giudizio Universale"", già a Santa Maria Nuova ed ora nel Museo di San Marco, commesso a Fra bartolomeo nel 1498 e compiuto dall'Albertinelli nel 1501",,15,15,,,,Two angels sounding trumpets,,Study for same,,15,15,"Albertinelli, Mariotto",,,,,Same as 1938,,,
000015A-Berenson1961,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,,,19197,,15 A,15A,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Schizzo per un frate visto di fronte,,,oil,http://vocab.getty.edu/aat/300015050,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,#N/A,,,,,,,Drawing missing in BB 1938 and BB 1903,
0000018-Berenson1961,Rome,http://sws.geonames.org/3169070,Italy,http://sws.geonames.org/3175395,Istituto Nazionale per la grafica,http://viaf.org/viaf/144897089/,,,,,130506,,18,18,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Studio per una Natività,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,18,18,,,,Study for Nativity,,Most characteristic,,18,18,"Albertinelli, Mariotto",,,,,"Ascribed to Bartolommeo, but more probably Albertinelli's",,,Check inventory number for the passage from palazzo Corsini to Galleria stampe Rome
0001006-Berenson1961,Rome,http://sws.geonames.org/3169070,Italy,http://sws.geonames.org/3175395,Istituto Nazionale per la grafica,http://viaf.org/viaf/144897089/,,,,,130483,,1006,1006,,,,"Granacci, Francesco",http://vocab.getty.edu/ulan/500022051,,Bambino Gesù per una Natività ,Giovane donna ammantata,,watercolor,http://vocab.getty.edu/aat/300015045,,,,,,,,,metalpoint,getty_metalpoint,,,,,,,"Same as 1938, in Italian",,1006,1006,,,,Study for Child in Nativity ,Young woman draped,Child lying in attitude close to that of the Child of the Nativity formerly belonging to M. Richtenberger ,unmistakably Granacci's. The verso is listed under my 19 in First Edition,19,19,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,,,,,,"""n. 19"" was BB 1903 "
0000020-Berenson1961,Rome,http://sws.geonames.org/3169070,Italy,http://sws.geonames.org/3175395,Istituto Nazionale per la grafica,http://viaf.org/viaf/144897089/,,,,,130507,,20,20,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,Vecchio monaco genuflesso ,Paese,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as 1938, in Italian",,20,20,,,,Kneeling elderly monk ,Landscape,Good,,20,20,"Albertinelli, Mariotto",,,,,Same as 1938,,,
000015B-Berenson1961,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,,,1936.10.10.1,,15 B,15B,,,,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,"Schizzo per un ""Noli me tangere""",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,15 A,15A,,,,Sketch for a Noli me tangere,,Poor and perhaps only a copy,,,,#N/A,,,,,,,Drawing missing in BB 1903,
000463A-Berenson1961,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,,,102,,463 A,463A,,,,"Bartolommeo,  Fra",http://vocab.getty.edu/ulan/500115575,,"In basso a sinistra San Michele, su scala maggiore ripetuti il medesimo senza ali e spada, il solo torso e un particolare del mantello",,,metalpoint,getty_metalpoint,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,463 A,463A,,,,Various studies for St. Michael in the Last Judgement,,"Ascribed to Raphael. Professor Fischel pleads that it is by Fra Bartolomeo and seems, on the whole, to be right",,16,16,"Albertinelli, Mariotto",http://vocab.getty.edu/ulan/500005936,,,,,,"In BB 1938 and BB 1903 Inventory number is ""169""","""già 16"" was BB 1903 "
000141A-Berenson1961,Melbourne,http://sws.geonames.org/2158177,Australia,http://sws.geonames.org/2077456,National Gallery of Victoria,http://viaf.org/viaf/149601682/,,,,,,,141 A,141A,778,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Figura virile nuda ,Due mani,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,"Same as 1938 title, in Italian;","Same as 1938, in Italian",141 A,141A,,,,Rapid sketch for Baptist in the Scalzo fresco of the Baptism ,Two hands,,very similar in type to the hands in the Pitti Disputa,137,137,"Sarto, Andrea del",,,,,,,"Inventory number missing in BB 1961, BB 1938, BB 1903. ",
000141B-Berenson1961,Melbourne,http://sws.geonames.org/2158177,Australia,http://sws.geonames.org/2077456,National Gallery of Victoria,http://viaf.org/viaf/149601682/,,,,,,,141 B,141B,795,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Testa di bimbo che ride,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938 title, in Italian",,141 B,141B,,,,"Sketh for head of infant Baptist in the ""Madonna di Porta a Pinti""",,"resembling the first draft neither in pose nor expression, but as in the finished work",,,,#N/A,,,,,,,Inventory number missing in BB 1961 and BB 1938. Drawing missing in BB 1903,
0000160-Berenson1961,Vienna,http://sws.geonames.org/2761369,Austria,http://sws.geonames.org/2782113,Albertina,http://viaf.org/viaf/150594250/,,,,,4867,,160,160,831,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Testa femminile con i capelli raccolti in un fazzoletto e lo sguardo abbassato,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,160,160,,,,"Kerchiefed female head, looking down slightly",,For the Madonna in the Pitti Pietà,,160,160,"Sarto, Andrea del",,,,,,,,
000160A-Berenson1961,Vienna,http://sws.geonames.org/2761369,Austria,http://sws.geonames.org/2782113,Albertina,http://viaf.org/viaf/150594250/,,,,,,,160 A,160A,,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,"Testa di fanciullo che guarda in alto, in profilo verso sinistra",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Studio per il Bambino Gesù nella ""Sacra Famiglia di ottaviano dei Madici"" (Pitti n. 81)",,,,#N/A,,,,,,,,,#N/A,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903,
0000161-Berenson1961,Vienna,http://sws.geonames.org/2761369,Austria,http://sws.geonames.org/2782113,Albertina,http://viaf.org/viaf/150594250/,,,,,234,,161,161,,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Due cavalieri in costume del tempo,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,161,161,,,,Two Horsemen in costume of time,,"Formerly acribed to Raphael, because both figures occur in the ""Spasimo di Sicilia"", but already correctly attributed by Wickhoff to Andrea. Andrea doubtless drew them, making such changes as pleased him, after Agostino Veneziano's engraving directly this was published in 1517. the style of the drawing does not admit of a much later date",,161,161,"Sarto, Andrea del",,,,,Same as 1938,,In BB 1961 Inventory number is handwritten by pen. The wrong number was 284,
000055A-Berenson1961,Bayonne,http://sws.geonames.org/3034475,France,http://sws.geonames.org/3017382,Musée Leon Bonnat,http://viaf.org/viaf/131379400/,,,,,147,,55 A,55A,,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,"Figura maschile drappeggiata, in profilo verso destra",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,,,55 A,55A,,,,Study for draped male figure in profile to right,,,,,,#N/A,,,,,,,Drawing missing in BB 1903,
000055H-Berenson1961,Dijon,http://sws.geonames.org/3021372,France,http://sws.geonames.org/3017382,Musée des beaux-arts,http://viaf.org/viaf/124290561/,,,,,,,55 H,55H,780,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Testa in profilo a destra di vecchio barbuto e mano che stringe una stampella,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian and added: Una copia della intera composizione, che può essere interessante, è a Dublino, un'altra è agli Uffizi, del Naldini",,55 H,55H,,,,Study for head and left hand of Zacharias in the Scalzo Visitation,,Reappears in finished work with no change. A copy of the entire composition that may prove of interest is in Dublin,,1958,1958,Pontormo,http://vocab.getty.edu/ulan/500008780,,,,Excellent,,"Inventory number missing in BB 1961 and BB 1938. In BB 1903 Inventory number is n. 819. ""già 1958"" was BB 1903",
00159A1-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Institut Néerlandais,http://viaf.org/viaf/136999912/,,,,,,,159 A-1,159A-1,835,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,"Testa di giovane uomo che guarda in alto, in profilo verso destra ",Studio per cavallo e cavaliere,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,"[1957: Questa testa si ricollega, secondo Sydney Freedberg, al donatore nel ""Tobia"" a Vienna (Gemäldegalerie n. 42)]",,,,,,,,,,,,,#N/A,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903,
000141H-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1670,,141 H,141H,792,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Piccolo disegno ovale per una Discesa dello Spirito Santo,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Solevo considerare questo disegno una copia fedele di un originale perduto, contemporaneo agli ultimi affreschi dello Scalzo. Studiosi competenti come P. Pouncey e S. Freedberg lo ritengono opera originale. Io non ho più avuto occasione di vederlo, ma sono propenso a credere che abbiano ragione. In ogni modo si tratta di una composizione ammirevole",,,,,,,,,,,,,#N/A,,,,,,,Drawing missing in BB 1938 and BB 1903,
0000142-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1678,,142,142,819,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,"Testa virile tonsurata, volta di tre quarti verso lo spettatore verso. Una mano",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,"Same as 1938, in Italian",,142,142,,,,"Study for head of St. Francis in the ""Madonna delle Arpie""",,Except for quality of structure singularly like a Lo Spagna,,142,142,"Sarto, Andrea del",,,,,Same as 1938,,,
000142A-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1672,,142 A,142A,,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Testa di vecchio in profilo verso sinistra,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938 title, in Italian",,142 A,142A,,,,Head of old man in profile. Framed by Vasari along with 3 sketches by Fra Bartolomeo (see my 464.A) to left,,May be for Zacharias in the Scalzo fresco representing him in the temple,,,,#N/A,,,,,,,Drawing missing in BB 1903,
0000143-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1675,,143,143,810,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,"Nudo giovanile in profilo verso destra ed appoggiato con il braccio ad un sacco, mentre legge un libro che tiene nella mano sinistra",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian and added: British Museum (n. 1895.9.15.547)",,143,143,,,,"Youthful nude, seated in profile to right behind sack against which he leans with his arm while he reads in book which he holds with left hand",,"Study from model for Joseph in the ""Madonna del Sacco"". A nearly contemporary copy of this at the British Museum",,143,143,"Sarto, Andrea del",,,,,Same as 1938,,,
0000144-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1679,,144,144,,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Studio di piedi,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,,,144,144,,,,Study of feet,,,,144,144,"Sarto, Andrea del",,,,,,,,
0000145-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1680,,145,145,787,788,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,Figira seduta in atto di scrivere su un foglio appoggiato ai ginocchi ,Testa calva di vecchio barbuto in profilo a sinistra,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,"Same as 1938, in Italian",,145,145,,,,Study for Zacharias in the Scalzo Birth of the Baptist ,Bald head of elderly man in profile to left,,"done from same model, and, except for being turned in opposite direction, almost identical with my 152",145,145,"Sarto, Andrea del",,,,,,Same as 1938,,
0000146-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1681,,146,146,781,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,"Figura maschile drappeggiata, in profilo a sinistra",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,146,146,,,,Study of draped male figure standing in profile to left,,For the Scalzo Dance of Salome,,146,146,"Sarto, Andrea del",,,,,Same as 1938,,,
#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,#N/A,#N/A,,,,,,,
0000148-Berenson1961,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130895627/,,,,,1684,,148,148,806,,,"Sarto, Andrea del",http://vocab.getty.edu/ulan/500025314,,"Testa arruffata di uomo giovane, di grandezza naturale ed un'altra simile su scala minore ",Altri due studi per la medesima testa,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,"Same as 1938, in Italian",,148,148,,,,"Life-size shaggy head of youngish man, and same on smaller scale ",Two other studies for same head,These are studies for the head of the man who on the first step of the Poggio a Caiano fresco stoops to take an animal by its leg,,148,148,"Sarto, Andrea del",,,,,Same as 1938,,,
