FlorentineDrawings_IdentifierBB1961,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Inventory_number,Object_repository_URI_corrected,Former_collection,Former_collection_URI,Former_collection_city,Former_collection_city_URI,Former_collection_country,Former_collection_country_URI,Former_collection_Inventory_Number,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
0000015-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,561.E,,,,,,,,,15,15,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Due Angeli suonatori di trombe,,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Studio per l'affresco del ""Giudizio Universale"", già a Santa Maria Nuova ed ora nel Museo di San Marco, commesso a Fra bartolomeo nel 1498 e compiuto dall'Albertinelli nel 1501",,15,15,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Two angels sounding trumpets,,Study for same,,15,15,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
000015A-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Gabinetto disegni e stampe degli Uffizi,http://viaf.org/viaf/131952597/,,,19197,,,,,,,,,15 A,15A,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Schizzo per un frate visto di fronte,,,oil,http://vocab.getty.edu/aat/300015050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drawing missing in BB 1938 and BB 1903,
0000018-Berenson,Rome,http://sws.geonames.org/3169070,Italy,http://sws.geonames.org/3175395,Istituto Nazionale per la Grafica,http://viaf.org/viaf/144897089/,,,130506,,,,,,,,,18,18,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Studio per una Natività,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,18,18,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Study for Nativity,,Most characteristic,,18,18,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,"Ascribed to Bartolommeo, but more probably Albertinelli's",,,Check inventory number for the passage from palazzo Corsini to Galleria stampe Rome
0001006-Berenson,Rome,http://sws.geonames.org/3169070,Italy,http://sws.geonames.org/3175395,Istituto Nazionale per la Grafica,http://viaf.org/viaf/144897089/,,,130483,,,,,,,,,1006,1006,,,,Francesco Granacci,http://vocab.getty.edu/ulan/500022051,,Bambino Gesù per una Natività ,Giovane donna ammantata,,watercolor,http://vocab.getty.edu/aat/300015045,,,,,,,,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,"Same as 1938, in Italian",,1006,1006,Francesco Granacci,http://vocab.getty.edu/ulan/500022051,,Study for Child in Nativity ,Young woman draped,Child lying in attitude close to that of the Child of the Nativity formerly belonging to M. Richtenberger ,unmistakably Granacci's. The verso is listed under my 19 in First Edition,19,19,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,,,,"""n. 19"" was BB 1903 "
0000020-Berenson,Rome,http://sws.geonames.org/3169070,Italy,http://sws.geonames.org/3175395,Istituto Nazionale per la Grafica,http://viaf.org/viaf/144897089/,,,130507,,,,,,,,,20,20,,,,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Vecchio monaco genuflesso ,Paese,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as 1938, in Italian",,20,20,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,Kneeling elderly monk ,Landscape,Good,,20,20,Mariotto Albertinelli,http://vocab.getty.edu/ulan/500005936,,,,Same as 1938,,,
0001489-Berenson,London,http://sws.geonames.org/2643743,United Kingdom,http://sws.geonames.org/2635167,British Museum,http://viaf.org/viaf/134857252/,,,"1854,0513.1",http://collection.britishmuseum.org/id/object/716051,,,,,,,,1489,1489,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Nudo atletico disteso con le braccia ripiegate dietro il dorso, che si contrae nello sforzo di liberarsi, premendo forte la gamba sinistra contro la coscia",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1489,1489,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Athletic nude with arms tied behind struggling to get free, but bent nearly double with the effort, the left leg pressed hard under the thigh",,"This rapid but masterly sketch, which has all the essential qualities of Michelangelo's feeling and touch, must have been meant for the figure of a slave - perhaps for the one we now see in the Victory of the Palazzo Vecchio - intended for the Tomb of Julius. The attitude suggests certain of the decorative nudes in the Sixtine Ceiling. This, among other considerations, leads up to place it between the completion of the frescoes and the commencement of the plans for the façade of S. Lorenzo. But the way of indicating the contours with curving lines which cross one another is singular, and exactly paralleled in only one other drawing, and that of the period of the Last Judgement, namely a leaf in the British Museum (my 1508), with a study among others perhaps for a scene in Dante's Purgatorio. This consideration need, however, not disturb us in assigning the sketch to an earlier date. Michelangelo's technique and stroke change little in the course of lifetime. The only ""fool-proof"" indication of date that I venture to name is that in no drawing earlier than the Cavalieri series does Michelangelo attempt to model with an effect of rubbing.",,1489,1489,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,,Same as 1938,,,
000141A-Berenson,Melbourne,http://sws.geonames.org/2158177,Australia,http://sws.geonames.org/2077456,National Gallery of Victoria,http://viaf.org/viaf/149601682/,,,,,,,,,,,,141 A,141A,778,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Figura virile nuda ,Due mani,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,"Same as 1938 title, in Italian;","Same as 1938, in Italian",141 A,141A,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Rapid sketch for Baptist in the Scalzo fresco of the Baptism ,Two hands,,very similar in type to the hands in the Pitti Disputa,137,137,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,,,,,"Inventory number missing in BB 1961, BB 1938, BB 1903. ",
000141B-Berenson,Melbourne,http://sws.geonames.org/2158177,Australia,http://sws.geonames.org/2077456,National Gallery of Victoria,http://viaf.org/viaf/149601682/,,,,,,,,,,,,141 B,141B,795,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Testa di bimbo che ride,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938 title, in Italian",,141 B,141B,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Sketh for head of infant Baptist in the ""Madonna di Porta a Pinti""",,"resembling the first draft neither in pose nor expression, but as in the finished work",,,,,,,,,,,Inventory number missing in BB 1961 and BB 1938. Drawing missing in BB 1903,
0000160-Berenson,Vienna,http://sws.geonames.org/2761369,Austria,http://sws.geonames.org/2782113,Albertina,http://viaf.org/viaf/150594250/,,,4867,,,,,,,,,160,160,831,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Testa femminile con i capelli raccolti in un fazzoletto e lo sguardo abbassato,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,160,160,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Kerchiefed female head, looking down slightly",,For the Madonna in the Pitti Pietà,,160,160,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,,,,,,
000160A-Berenson,Vienna,http://sws.geonames.org/2761369,Austria,http://sws.geonames.org/2782113,Albertina,http://viaf.org/viaf/150594250/,,,,,,,,,,,,160 A,160A,,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Testa di fanciullo che guarda in alto, in profilo verso sinistra",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Studio per il Bambino Gesù nella ""Sacra Famiglia di ottaviano dei Madici"" (Pitti n. 81)",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903,
0000161-Berenson,Vienna,http://sws.geonames.org/2761369,Austria,http://sws.geonames.org/2782113,Albertina,http://viaf.org/viaf/150594250/,,,234,,,,,,,,,161,161,,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Due cavalieri in costume del tempo,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,161,161,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Two Horsemen in costume of time,,"Formerly acribed to Raphael, because both figures occur in the ""Spasimo di Sicilia"", but already correctly attributed by Wickhoff to Andrea. Andrea doubtless drew them, making such changes as pleased him, after Agostino Veneziano's engraving directly this was published in 1517. the style of the drawing does not admit of a much later date",,161,161,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,,,Same as 1938,,In BB 1961 Inventory number is handwritten by pen. The wrong number was 284,
000055A-Berenson,Bayonne,http://sws.geonames.org/3034475,France,http://sws.geonames.org/3017382,Musée Bonnat,http://viaf.org/viaf/131379400/,,,147,,,,,,,,,55 A,55A,,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Figura maschile drappeggiata, in profilo verso destra",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,,,55 A,55A,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Study for draped male figure in profile to right,,,,,,,,,,,,,Drawing missing in BB 1903,
000055H-Berenson,Dijon,http://sws.geonames.org/3021372,France,http://sws.geonames.org/3017382,Musée des beaux-art de Dijon,http://viaf.org/viaf/167862233/,,,,,,,,,,,,55 H,55H,780,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Testa in profilo a destra di vecchio barbuto e mano che stringe una stampella,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian and added: Una copia della intera composizione, che può essere interessante, è a Dublino, un'altra è agli Uffizi, del Naldini",,55 H,55H,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Study for head and left hand of Zacharias in the Scalzo Visitation,,Reappears in finished work with no change. A copy of the entire composition that may prove of interest is in Dublin,,1958,1958,Pontormo,http://vocab.getty.edu/ulan/500008780,,,,Excellent,,"Inventory number missing in BB 1961 and BB 1938. In BB 1903 Inventory number is n. 819. ""già 1958"" was BB 1903",
00159A1-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Institut Néerlandais,http://viaf.org/viaf/136999912/,,,,,,,,,,,,159 A-1,159A-1,835,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Testa di giovane uomo che guarda in alto, in profilo verso destra ",Studio per cavallo e cavaliere,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,"[1957: Questa testa si ricollega, secondo Sydney Freedberg, al donatore nel ""Tobia"" a Vienna (Gemäldegalerie n. 42)]",,,,,,,,,,,,,,,,,,,,Inventory number missing in BB 1961. Drawing missing in BB 1938 and BB 1903,
000141H-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1670,,,,,,,,,141 H,141H,792,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Piccolo disegno ovale per una Discesa dello Spirito Santo,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Solevo considerare questo disegno una copia fedele di un originale perduto, contemporaneo agli ultimi affreschi dello Scalzo. Studiosi competenti come P. Pouncey e S. Freedberg lo ritengono opera originale. Io non ho più avuto occasione di vederlo, ma sono propenso a credere che abbiano ragione. In ogni modo si tratta di una composizione ammirevole",,,,,,,,,,,,,,,,,,,,Drawing missing in BB 1938 and BB 1903,
0000142-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1678,,,,,,,,,142,142,819,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Testa virile tonsurata, volta di tre quarti verso lo spettatore verso. Una mano",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,"Same as 1938, in Italian",,142,142,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Study for head of St. Francis in the ""Madonna delle Arpie""",,Except for quality of structure singularly like a Lo Spagna,,142,142,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,,,Same as 1938,,,
000142A-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1672,,,,,,,,,142 A,142A,,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Testa di vecchio in profilo verso sinistra,,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938 title, in Italian",,142 A,142A,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,Head of old man in profile. Framed by Vasari along with 3 sketches by Fra Bartolomeo (see my 464.A) to left,,May be for Zacharias in the Scalzo fresco representing him in the temple,,,,,,,,,,,Drawing missing in BB 1903,
0000143-Berenson,Paris,http://sws.geonames.org/2988507,France,http://sws.geonames.org/3017382,Musée du Louvre,http://viaf.org/viaf/130051079/,,,1675,,,,,,,,,143,143,810,,,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Nudo giovanile in profilo verso destra ed appoggiato con il braccio ad un sacco, mentre legge un libro che tiene nella mano sinistra",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,"Same as 1938, in Italian and added: British Museum (n. 1895.9.15.547)",,143,143,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,"Youthful nude, seated in profile to right behind sack against which he leans with his arm while he reads in book which he holds with left hand",,"Study from model for Joseph in the ""Madonna del Sacco"". A nearly contemporary copy of this at the British Museum",,143,143,Andrea del Sarto,http://vocab.getty.edu/ulan/500025314,,,,Same as 1938,,,
