FlorentineDrawings_IdentifierBB1961,City_Country,City,Country,Collection_main,Collection_sub,Former_collection,BB_1961_Inventory_number,Inventory_number_correction,BB_1961_number_letter,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_2,BB_1961_technique_recto_3,BB_1961_technique_recto_4,BB_1961_technique_recto_5,BB_1961_technique_verso_1,BB_1961_technique_verso_2,BB_1961_technique_verso_3,BB_1961_technique_verso_4,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_Artist_NoQualifier,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_Artist_NoQualifier,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
0000575-Berenson1961,"Florence, Italy",Florence,Italy,Gabinetto disegni e stampe degli Uffizi,,,201.E,,575,,,,"Botticelli, Sandro",School of,Pallade che regge un cimiero nella mano destra ed un ramo d'ulivo nella sinistra ,Parte di un fregio con ornamenti geometrici e teste di putti,,pen,bistre,,,,pen,bistro,,,"Same as 1938, in Italian",,575,,,Study for Pallas ,Part of a frieze with diasperings and  the heads of putti,,Seems by onother and inferior hand,,,,,,,,,
000576A-Berenson1961,"Florence, Italy",Florence,Italy,Gabinetto disegni e stampe degli Uffizi,,,1149.E,,576 A,,,XXXII,"Botticelli, Sandro",School of,San Giovanni Evangelista risuscita lo sposo (secondo Jacopo da Varagine nella Leggenda aurea),,,pen,,,,,,,,,"Same as 1938, in Italian",,576 A,,,"St. john Evangelist bringing the bridegroom to life, as recounted by Jacopo de Voragine in the Legenda Aurea",,"Probably a studio drawing from Botticelli's later but not last years, and intended for embroidery like those after his designs at Milan and Orvieto. Companion, no doubt, to the original of my 582",,,Amico di Sandro,,,,,,,
0000577-Berenson1961,"Florence, Italy",Florence,Italy,Gabinetto disegni e stampe degli Uffizi,,,1248.E,,577,,,,"Botticelli, Sandro",School of,Sei figure genuflesse (due giovani inghirlandati che leggono un libro e dietro di loro quattro incappucciati) sulle quali aleggia la colomba dello Spirito Santo,,,pen,,,,,,,,,"Same as 1938, in Italian",,577,,,Two youths kneeling in midst of four other figures above them the Holy Spirit,,"Ascribed to Piero di Cosimo, with whom it has but a remote although a certain affinity",,,,,,,Same as 1938,,,
000577A-Berenson1961,"Florence, Italy",Florence,Italy,Gabinetto disegni e stampe degli Uffizi,,,160.F,,577 A,,,,"Botticelli, Sandro",School of,"Uomo anziano e barbuto, coperto solamente alla vita con un panno, investito dal vento, che corre verso sinistra tappandosi la bocca con ambo le mani",,,pen,,,,,,,,,"Same as 1938, in Italian",,577 A,,,"Elderly bearded nude in attitude of floating to left with billowing draperies blown to right away from his belly and loins, with right arms almost horizontal and both hands to his mouth",,"Contemporary copy or possibly even an original outline in black chalk. Completely disguised by the ink of another hand, of a figure intended perhaps for one of the winds in the Birth of Venus. It is of course possible that it was meant for a demon in some such composition as my 586",,,,,,,,,Drawing missing in BB 1903,
#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000570-Berenson1961,"Rome, Italy",Rome,Italy,Biblioteca Apostolica Vaticana,,,,,570,198,,,"Botticelli, Sandro",,Sette fogli con otto illustrazioni per l'inferno di Dante (il primo foglio è illustrato su ambedue le facce),,,metalpoint,,,,,,,,,Vedi anche BB 561,,570,,,"A number of sheets for the illustrations, the bulk of which are at Berlin, for Dante's Divina Commedia",,,,,,,,,"A number of sheets for the illustrations, the bulk of which are at Berlin, for Dante's Divina Commedia",,,
0000585-Berenson1961,"Turin, Italy",Turin,Italy,Biblioteca Nazionale Reale,,,15594,,585,,,,"Botticelli, Sandro",School of,San Paolo in trono,,,pen,,,,,,,,,"Same as 1938, in Italian",,585,,,St. Paul enthroned,,"Paul looks like a faithful copy of a Botticelli design of about 1480-5. The throne, the putti, and something in the touch suggest the engraver",,,,,,,,,,
0000586-Berenson1961,"Turin, Italy",Turin,Italy,Biblioteca Nazionale Reale,,,15596,,586,,,,"Botticelli, Sandro",School of,Funerali di Santa Marina,,,pen,,,,,,,,,"Same as 1938, in Italian",,586,,,Funeral of St. Marina,,Crude copy of intensely Botticellian composition of about 1490 done perhaps by an engraver,,,,,,,,,,
0000587-Berenson1961,"Turin, Italy",Turin,Italy,Biblioteca Nazionale Reale,,,15597,,587,,,,"Botticelli, Sandro",School of,Pallade,,,watercolor,,,,,,,,,"[1957: Degenhart, Rom. Jahrb. 1955, p. 232, può essere nel giusto attribuendo questo foglio a Giuliano da San Gallo]",,587,,,Pallas,,,,,,,,,,,,
000567A-Berenson1961,"London, United Kingdom",London,United Kingdom,British Museum,,,1895.9.15.450,,567 A,,,XXX,"Botticelli, Sandro",,"Testa di giovane, quasi in profilo a sinistra, alzata come in estatica contemplazione",,,pen,,,,,,,,,"Same as 1938, in Italian",,567 A,,,Head of youth looking up in adoration  almost in profile left,,"I used to ascribe this to ""Amico di Sandro"", and if there was anything to justify , more than thirty-five years ago, when we knew even less than we do now, the demand for an artistic personality like ""Amico's"", it is this drawing with its vivacity of expression and daintiness of touch that might almost as well be Filippo's as Botticelli's. Indeed, it has required frequent return to the problem before I could solve it in favour of Botticelli. Of course it belongs to the earlier part of his career although scarcely the earliest",,,Amico di Sandro,,,,,,,
000561A-Berenson1961,"Cambridge, United Kingdom",Cambridge,United Kingdom,Fitzwilliam Museum,,,910,,561 A,193,,,"Botticelli, Sandro",,"Madonna che sostiene sul suo ginocchio destro il Bambino Gesù, al quale un re prostrato bacia il piedino, mentre San Giuseppe si appoggia al suo bastone, con la testa fra le braccia",,,tempera,,,,,,,,,"Frammento centrale di un modellino per un'Adorazione dei Magi che servì per l'incompiuta ""Epifania"" agli Uffizi (n. 4346, ca. 1490). Per gli altri frammenti vedi BB nn. 561.B e 569.A",,561 A,,,"Madonna bending to present on her right knee the Child, whose foot is being kissed by a prostrate king. Above to left Joseph leaning with head in his arms against wall",,Fragment of design for Adoration of Magi of which bits are my 561.B and 569.A,,,,,,,,,Drawing missing in BB 1903,
000561B-Berenson1961,"Cambridge, United Kingdom",Cambridge,United Kingdom,Fitzwilliam Museum,,,2888,,561 B,194,,,"Botticelli, Sandro",,"Gruppo di uomini ammantati, uno genuflesso, uno piegato in avanti con le braccia incrociate sul petto, gli altri in piedi",,,tempera,,,,,,,,,Frammento destro di un medellino per un'epifania; per gli altri frammenti vedi BB nn. 561.A e 569.A,,561 B,,,"Group of draped figures for right part of an Adoration of the Magi, one kneeling, one stooping and the others standing",,For same composition as my 561.A and 569.A,,,"Botticelli, Sandro",School of,,,"Mr. Horne tells me that the original was a fresco that once existed in the Palazo Vecchio. Our copy, while accurate, does not seem to be by a pupil of Botticelli",,,
0000567-Berenson1961,"London, United Kingdom",London,United Kingdom,British Museum,,,1895.9.15.447,,567,,,XXXI,"Botticelli, Sandro",,Figura allegorica dell'Abbondanza,,,pen,,,,,,,,,,,567,,,Study for allegorical figure of Abundance,,,,,,,,,,,,
000567A-Berenson1961,"London, United Kingdom",London,United Kingdom,British Museum,,,1895.9.450,,567 A,,,XXX,"Botticelli, Sandro",,"Testa di giovane, quasi in profilo a sinistra, alzata come in estatica contemplazione",,,pen,,,,,,,,,"Same as 1938, in Italian",,567 A,,,Head of youth looking up in adoration  almost in profile left,,"I used to ascribe this to ""Amico di Sandro"", and if there was anything to justify , more than thirty-five years ago, when we knew even less than we do now, the demand for an artistic personality like ""Amico's"", it is this drawing with its vivacity of expression and daintiness of touch that might almost as well be Filippo's as Botticelli's. Indeed, it has required frequent return to the problem before I could solve it in favour of Botticelli. Of course it belongs to the earlier part of his career although scarcely the earliest",,,Amico di Sandro,,,,"This certainly is not by Botticelli to whom it is ascribed. It stands very close to Filippo, but I doubt whether it is by that master. Something in the vivacity of the expression, the daintiness of the feeling, and the quality of the touch, inclines me to the belief that the real author of this charming head may have been Amico.",,,
000567B-Berenson1961,"London, United Kingdom",London,United Kingdom,National Gallery,,,592,,567 B,,,,"Botticelli, Sandro",,Figura femminile drappeggiata che sorregge uno scudo con la mano sinistra,,,black chalk,,,,,,,,,"Same as 1938, in Italian",,567 B,,,On back of early Adoration of Magi (no. 592). Draped female figure holding up a shield with l. hand,,"Mr. Kenneth Clark, the director of the National Gallery, who was good enough to send me the photo, writes on May 12th, 1936: ""It is done straight onto the wood without any priming or preparation. The head is full face but only roughly indicated. As far as I can see the right arm was originally raised and the thing hanging down at the figure's right side is part of the sleeve"". Let me for my part add that in the reprodution I can discover nothing that Botticelli might not have done in the early years when he was groping his way between Fra Filippo, Pollajuolo and Verrocchio toward his own style",,,,,,,,,"Inventory number ""592"" is referred to the painting of ""Adoration of Magi"" in whose back is located the drawing. Drawing missing in BB 1903. ",
0000578-Berenson1961,"London, United Kingdom",London,United Kingdom,British Museum,,,1895.9.15.448,,578,,,,"Botticelli, Sandro",School of,Figura allegorica della fede,,,black chalk,pen,,,,,,,,,,578,,,An allegorical figure of Faith,,,,,,,,,,,,
0000579-Berenson1961,"London, United Kingdom",London,United Kingdom,British Museum,,,1895.9.15.449,,579,,,,"Botticelli, Sandro",School of,Madonna,,,pen,bistre,,,,,,,,"Same as 1938, in Italian",,579,,,Madonna and Child,,"Feeble and niggling, but pretty. Child's head and Virgin's shoulder almost effaced. Poorer version of same original as my 570.A",,,,,,,Same as 1938,,,
0000581-Berenson1961,"Oxford, United Kingdom",Oxford,United Kingdom,Ashmolean Museum,,,7,,581,,,,"Botticelli, Sandro",School of,Testa femminile grande al naturale ,Pallade,,metalpoint,bistre,,,,pen,bistro,,,"Same as 1938, in Italian",,581,,,Female head (life-size) ,Pallas,After the portrait (of Botticelli's School) in the Städel Institut at Frankfort,Elaborated version by inferior hand of the drawing in the Uffizi. Close to Raffaele dei Carli,,,,,,Same as 1938,,,
000569A-Berenson1961,"New York, United States of America",New York,United States of America,Morgan Library,,,,,569 A,192,,,"Botticelli, Sandro",,"Gruppo tumultuante di uomini ie cavalli che si spingono verso destra, ove la prima figura si china in avanti incrociando le mani sul petto con espressione estatica come vedesse finalmente l'oggetto del proprio desiderio",,,tempera,,,,,,,,,"Same as 1938, in Italian",,569 A,,,"Tumultuous crowd, horses and men pushing toward r., the foremost figure stooping forward with hands crossed over breast and an expression of ecstasy on his face as if close at last to the object of his desire",,Fragment of the Adoration of the Magi. For the same composition as my 561.A and 561.B,,,,,,,,,Drawing missing in BB 1903,
000580A-Berenson1961,"New York, United States of America",New York,United States of America,Metropolitan Museum of Art,,,104,,580 A,199,,,"Botticelli, Sandro",School of,Comunione di San Girolamo,,,pen,,,,,,,,,Fedele copia contemporanea del quadro del Botticelli ora nel Metropolitan Museum di New York (n. 14.40.643),,,,,,,,,,,,,,,,Drawing missing in BB 1938 and BB 1903,
